Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName
PAYMENT,Standard Class,0,Water Sports,Consumer,195.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,193.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Home Office,188.9900055,Central America,May
TRANSFER,Standard Class,0,Water Sports,Corporate,181.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,179.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Home Office,167.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,165.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,163.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Home Office,159.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,199.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,197.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,191.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,181.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,163.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,195.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,189.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,188.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,179.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Home Office,165.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Home Office,163.9900055,Caribbean,April
DEBIT,Standard Class,0,Water Sports,Consumer,159.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,149.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,199.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,188.9900055,Caribbean,April
TRANSFER,Same Day,0,Water Sports,Consumer,181.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,179.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,175.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,173.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,169.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,167.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Corporate,163.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Corporate,159.9900055,South America,April
DEBIT,Second Class,0,Water Sports,Corporate,197.9900055,South America,April
TRANSFER,Same Day,0,Water Sports,Corporate,189.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,165.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,159.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,197.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,195.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,185.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Home Office,181.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,179.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Home Office,175.9900055,Caribbean,April
DEBIT,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
DEBIT,Same Day,0,Water Sports,Consumer,189.9900055,Central America,April
TRANSFER,Same Day,0,Water Sports,Home Office,188.9900055,Central America,April
CASH,Same Day,0,Water Sports,Corporate,185.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Home Office,181.9900055,South America,April
CASH,Standard Class,0,Water Sports,Corporate,179.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,167.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,165.9900055,Caribbean,April
DEBIT,Standard Class,0,Water Sports,Corporate,163.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,191.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,181.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,179.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,175.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,169.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,163.9900055,South America,April
CASH,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
CASH,Second Class,0,Water Sports,Home Office,195.9900055,Central America,April
TRANSFER,Second Class,0,Water Sports,Consumer,193.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Home Office,179.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,169.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,167.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,165.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,163.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,199.9900055,Caribbean,April
CASH,Standard Class,0,Water Sports,Home Office,195.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Home Office,193.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,191.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,189.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Corporate,188.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,185.9900055,Central America,April
DEBIT,Same Day,0,Water Sports,Home Office,179.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,173.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,165.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Home Office,149.9900055,South America,April
TRANSFER,Second Class,0,Water Sports,Corporate,185.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,181.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,179.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,169.9900055,South America,April
PAYMENT,Same Day,0,Water Sports,Corporate,167.9900055,South America,April
PAYMENT,Same Day,0,Water Sports,Corporate,165.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Home Office,197.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,195.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,189.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,185.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,175.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,173.9900055,Central America,April
PAYMENT,Second Class,0,Water Sports,Consumer,169.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,165.9900055,South America,April
DEBIT,Same Day,0,Water Sports,Home Office,199.9900055,Caribbean,April
PAYMENT,Same Day,0,Water Sports,Home Office,197.9900055,Caribbean,April
CASH,Second Class,0,Water Sports,Consumer,193.9900055,Central America,April
DEBIT,Second Class,0,Water Sports,Corporate,189.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,181.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,175.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,165.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,163.9900055,Central America,April
DEBIT,Second Class,0,Water Sports,Consumer,159.9900055,Central America,April
DEBIT,Second Class,0,Water Sports,Consumer,149.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,197.9900055,Caribbean,April
CASH,Standard Class,0,Water Sports,Consumer,188.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Home Office,185.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,181.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,179.9900055,Central America,April
PAYMENT,Second Class,0,Water Sports,Consumer,175.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,173.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,169.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,165.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,149.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,193.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,191.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,165.9900055,Central America,April
PAYMENT,Second Class,0,Water Sports,Corporate,159.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,149.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Consumer,199.9900055,Caribbean,April
CASH,Standard Class,0,Water Sports,Home Office,195.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,193.9900055,South America,April
PAYMENT,Second Class,0,Water Sports,Corporate,185.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Consumer,169.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,163.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,159.9900055,South America,April
DEBIT,Same Day,0,Water Sports,Consumer,199.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,193.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Home Office,191.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Corporate,188.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,185.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,175.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,173.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
DEBIT,Same Day,0,Water Sports,Consumer,195.9900055,South America,April
DEBIT,Same Day,0,Water Sports,Consumer,193.9900055,South America,April
PAYMENT,Same Day,0,Water Sports,Home Office,191.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,188.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,175.9900055,Caribbean,April
DEBIT,Standard Class,0,Water Sports,Corporate,159.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,149.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,195.9900055,Caribbean,April
DEBIT,Standard Class,0,Water Sports,Consumer,179.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,173.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,165.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,163.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,159.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,197.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,181.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,179.9900055,South America,April
PAYMENT,Standard Class,0,Water Sports,Corporate,167.9900055,Caribbean,April
PAYMENT,Same Day,0,Water Sports,Home Office,199.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,175.9900055,South America,April
TRANSFER,Same Day,0,Water Sports,Corporate,169.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,165.9900055,Caribbean,April
CASH,Standard Class,0,Water Sports,Consumer,163.9900055,Central America,April
DEBIT,Same Day,0,Water Sports,Consumer,199.9900055,South America,April
DEBIT,Same Day,0,Water Sports,Consumer,197.9900055,South America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,195.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Home Office,193.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,191.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Corporate,189.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Corporate,185.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Corporate,167.9900055,Central America,April
TRANSFER,Second Class,0,Water Sports,Consumer,165.9900055,Central America,April
TRANSFER,Second Class,0,Water Sports,Consumer,163.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,159.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,149.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,199.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,197.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,185.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Corporate,181.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,169.9900055,South America,April
CASH,Standard Class,0,Water Sports,Corporate,167.9900055,Central America,April
PAYMENT,Second Class,0,Water Sports,Home Office,165.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Consumer,149.9900055,Central America,April
PAYMENT,Standard Class,0,Water Sports,Consumer,197.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Home Office,195.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,193.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Consumer,173.9900055,Caribbean,April
DEBIT,Second Class,0,Water Sports,Home Office,167.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,149.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Corporate,199.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Consumer,197.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Corporate,195.9900055,Central America,April
CASH,Standard Class,0,Water Sports,Corporate,193.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Home Office,191.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,175.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Consumer,165.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Consumer,159.9900055,Caribbean,April
TRANSFER,Standard Class,0,Water Sports,Home Office,149.9900055,Caribbean,April
PAYMENT,Standard Class,0,Water Sports,Corporate,195.9900055,South America,April
DEBIT,Standard Class,0,Water Sports,Corporate,193.9900055,Central America,April
DEBIT,Standard Class,0,Water Sports,Corporate,191.9900055,Central America,April
TRANSFER,Standard Class,0,Water Sports,Home Office,188.9900055,Central America,April
TRANSFER,Same Day,0,Water Sports,Home Office,173.9900055,Central America,March
