Type,ShippingMode,ProductPrice,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemQuantity,OrderRegion,ShippingMonthName,is_outlier,Type_index,ShippingMode_index,CategoryName_index,CustomerSegment_index,OrderRegion_index,ShippingMonthName_index
PAYMENT,Standard Class,39.99000168,0,Shop By Sport,Consumer,2,Caribbean,February,0,2.0,0.0,8.0,0.0,7.0,8.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Caribbean,March,0,2.0,0.0,2.0,0.0,7.0,2.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Caribbean,January,0,2.0,0.0,2.0,0.0,7.0,0.0
PAYMENT,Standard Class,39.99000168,0,Shop By Sport,Consumer,2,Central America,January,0,2.0,0.0,8.0,0.0,0.0,0.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,May,0,2.0,0.0,2.0,0.0,0.0,3.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,April,0,2.0,0.0,2.0,0.0,0.0,6.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,March,0,2.0,0.0,2.0,0.0,0.0,2.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,May,0,2.0,0.0,2.0,0.0,0.0,3.0
PAYMENT,Standard Class,39.99000168,0,Girls' Apparel,Consumer,2,South America,March,0,2.0,0.0,12.0,0.0,2.0,2.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,February,0,2.0,0.0,2.0,0.0,0.0,8.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Caribbean,February,0,2.0,0.0,2.0,0.0,7.0,8.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,South America,January,0,2.0,0.0,2.0,0.0,2.0,0.0
PAYMENT,Standard Class,39.99000168,0,Shop By Sport,Consumer,2,Central America,March,0,2.0,0.0,8.0,0.0,0.0,2.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,February,0,2.0,0.0,2.0,0.0,0.0,8.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,South America,April,0,2.0,0.0,2.0,0.0,2.0,6.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,May,0,2.0,0.0,2.0,0.0,0.0,3.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,February,0,2.0,0.0,2.0,0.0,0.0,8.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,March,0,2.0,0.0,2.0,0.0,0.0,2.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,South America,May,0,2.0,0.0,2.0,0.0,2.0,3.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,April,0,2.0,0.0,2.0,0.0,0.0,6.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,April,0,2.0,0.0,2.0,0.0,0.0,6.0
PAYMENT,Standard Class,39.99000168,0,Shop By Sport,Consumer,2,Caribbean,April,0,2.0,0.0,8.0,0.0,7.0,6.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,Central America,April,0,2.0,0.0,2.0,0.0,0.0,6.0
PAYMENT,Standard Class,50.0,0,Women's Apparel,Consumer,2,South America,May,0,2.0,0.0,2.0,0.0,2.0,3.0
PAYMENT,Standard Class,24.98999977,0,Accessories,Consumer,2,Central America,March,0,2.0,0.0,10.0,0.0,0.0,2.0
PAYMENT,Standard Class,24.98999977,0,Accessories,Consumer,2,Central America,February,0,2.0,0.0,10.0,0.0,0.0,8.0
PAYMENT,Standard Class,17.98999977,0,Golf Balls,Consumer,2,Central America,April,0,2.0,0.0,11.0,0.0,0.0,6.0
PAYMENT,Standard Class,51.99000168,0,Electronics,Consumer,2,Central America,January,0,2.0,0.0,9.0,0.0,0.0,0.0
PAYMENT,Standard Class,15.98999977,0,Trade-In,Consumer,2,South America,March,0,2.0,0.0,14.0,0.0,2.0,2.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,February,0,2.0,0.0,0.0,0.0,10.0,8.0
PAYMENT,Standard Class,39.99000168,0,Shop By Sport,Consumer,2,Oceania,December,0,2.0,0.0,8.0,0.0,3.0,9.0
PAYMENT,Standard Class,34.99000168,0,Baseball & Softball,Consumer,2,Eastern Asia,January,0,2.0,0.0,18.0,0.0,10.0,0.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Eastern Asia,March,0,2.0,0.0,7.0,0.0,10.0,2.0
PAYMENT,Standard Class,31.98999977,0,Electronics,Consumer,2,Eastern Asia,November,0,2.0,0.0,9.0,0.0,10.0,11.0
PAYMENT,Standard Class,54.97000122,0,Boxing & MMA,Consumer,2,Oceania,October,0,2.0,0.0,28.0,0.0,3.0,10.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,West Asia,November,0,2.0,0.0,7.0,0.0,12.0,11.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Oceania,November,0,2.0,0.0,7.0,0.0,3.0,11.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Southeast Asia,January,0,2.0,0.0,7.0,0.0,5.0,0.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Southeast Asia,March,0,2.0,0.0,7.0,0.0,5.0,2.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Oceania,March,0,2.0,0.0,7.0,0.0,3.0,2.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Oceania,March,0,2.0,0.0,7.0,0.0,3.0,2.0
PAYMENT,Standard Class,31.98999977,0,Electronics,Consumer,2,Southeast Asia,March,0,2.0,0.0,9.0,0.0,5.0,2.0
PAYMENT,Standard Class,99.98999786,0,Cardio Equipment,Consumer,2,Oceania,November,0,2.0,0.0,7.0,0.0,3.0,11.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Oceania,March,0,2.0,0.0,0.0,0.0,3.0,2.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,December,0,2.0,0.0,0.0,0.0,10.0,9.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,West Asia,January,0,2.0,0.0,0.0,0.0,12.0,0.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Southeast Asia,February,0,2.0,0.0,0.0,0.0,5.0,8.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,West Asia,September,0,2.0,0.0,0.0,0.0,12.0,5.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,March,0,2.0,0.0,0.0,0.0,10.0,2.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,West Asia,December,0,2.0,0.0,0.0,0.0,12.0,9.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Southeast Asia,December,0,2.0,0.0,0.0,0.0,5.0,9.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,November,0,2.0,0.0,0.0,0.0,10.0,11.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Southeast Asia,January,0,2.0,0.0,0.0,0.0,5.0,0.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Southeast Asia,November,0,2.0,0.0,0.0,0.0,5.0,11.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,January,0,2.0,0.0,0.0,0.0,10.0,0.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Eastern Asia,December,0,2.0,0.0,0.0,0.0,10.0,9.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Oceania,April,0,2.0,0.0,0.0,0.0,3.0,6.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Oceania,January,0,2.0,0.0,0.0,0.0,3.0,0.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Southeast Asia,November,0,2.0,0.0,0.0,0.0,5.0,11.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,West Asia,January,0,2.0,0.0,0.0,0.0,12.0,0.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Oceania,March,0,2.0,0.0,0.0,0.0,3.0,2.0
PAYMENT,Standard Class,59.99000168,0,Cleats,Consumer,2,Oceania,January,0,2.0,0.0,0.0,0.0,3.0,0.0
