Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName
DEBIT,Standard Class,0,Sporting Goods,Consumer,314.6400146,Southeast Asia,February
TRANSFER,Standard Class,1,Sporting Goods,Consumer,311.3599854,South Asia,January
CASH,Standard Class,0,Sporting Goods,Consumer,309.7200012,South Asia,January
DEBIT,Standard Class,0,Sporting Goods,Home Office,304.8099976,Oceania,January
PAYMENT,Standard Class,0,Sporting Goods,Corporate,298.25,Oceania,January
DEBIT,First Class,1,Sporting Goods,Home Office,288.4200134,Eastern Asia,January
TRANSFER,First Class,1,Sporting Goods,Corporate,285.1400146,Eastern Asia,January
CASH,Second Class,1,Sporting Goods,Corporate,278.5899963,Eastern Asia,January
CASH,First Class,1,Sporting Goods,Corporate,275.3099976,Eastern Asia,January
TRANSFER,Second Class,1,Sporting Goods,Consumer,268.7600098,Southeast Asia,January
TRANSFER,Second Class,1,Sporting Goods,Corporate,262.2000122,Southeast Asia,January
DEBIT,First Class,1,Sporting Goods,Corporate,245.8099976,South Asia,January
TRANSFER,First Class,1,Sporting Goods,Corporate,327.75,South Asia,January
DEBIT,First Class,1,Sporting Goods,Corporate,324.4700012,South Asia,January
PAYMENT,Second Class,1,Sporting Goods,Corporate,321.2000122,Eastern Asia,January
CASH,First Class,1,Sporting Goods,Corporate,317.9200134,South Asia,January
DEBIT,First Class,1,Sporting Goods,Consumer,314.6400146,South Asia,January
PAYMENT,Same Day,0,Sporting Goods,Consumer,311.3599854,South Asia,January
TRANSFER,Same Day,0,Sporting Goods,Corporate,309.7200012,South Asia,January
TRANSFER,Standard Class,1,Sporting Goods,Corporate,304.8099976,South Asia,January
TRANSFER,Second Class,1,Sporting Goods,Corporate,298.25,Oceania,January
DEBIT,Second Class,1,Sporting Goods,Corporate,285.1400146,Oceania,January
TRANSFER,Second Class,1,Sporting Goods,Consumer,278.5899963,Oceania,January
PAYMENT,Standard Class,0,Sporting Goods,Corporate,275.3099976,Eastern Asia,January
DEBIT,Standard Class,0,Sporting Goods,Corporate,272.0299988,Eastern Asia,January
TRANSFER,Standard Class,0,Sporting Goods,Consumer,268.7600098,Eastern Asia,January
DEBIT,Standard Class,1,Sporting Goods,Consumer,262.2000122,Eastern Asia,January
DEBIT,Standard Class,1,Sporting Goods,Consumer,245.8099976,South Asia,January
PAYMENT,Standard Class,0,Sporting Goods,Consumer,327.75,South Asia,January
DEBIT,First Class,1,Sporting Goods,Consumer,324.4700012,Eastern Asia,January
PAYMENT,First Class,1,Sporting Goods,Consumer,321.2000122,Eastern Asia,January
PAYMENT,First Class,1,Sporting Goods,Corporate,317.9200134,Southeast Asia,January
CASH,First Class,1,Sporting Goods,Corporate,314.6400146,South Asia,January
DEBIT,First Class,1,Sporting Goods,Corporate,311.3599854,Oceania,January
DEBIT,Same Day,1,Sporting Goods,Consumer,309.7200012,Oceania,January
PAYMENT,Same Day,1,Sporting Goods,Consumer,298.25,Southeast Asia,January
DEBIT,Same Day,1,Sporting Goods,Home Office,294.980011,Southeast Asia,January
CASH,Standard Class,0,Sporting Goods,Home Office,288.4200134,Southeast Asia,January
PAYMENT,Standard Class,0,Sporting Goods,Home Office,285.1400146,Southeast Asia,January
DEBIT,Standard Class,0,Sporting Goods,Consumer,278.5899963,Oceania,January
TRANSFER,Standard Class,1,Sporting Goods,Corporate,275.3099976,South Asia,January
TRANSFER,Second Class,1,Sporting Goods,Corporate,272.0299988,South Asia,January
TRANSFER,Standard Class,0,Sporting Goods,Corporate,268.7600098,Eastern Asia,January
PAYMENT,Second Class,1,Cleats,Home Office,115.1800003,South Asia,February
PAYMENT,Second Class,0,Shop By Sport,Home Office,79.18000031,West Asia,October
PAYMENT,Second Class,1,Women's Apparel,Home Office,96.0,Oceania,April
PAYMENT,Second Class,0,Shop By Sport,Home Office,75.98000336,West Asia,November
PAYMENT,Second Class,1,Women's Apparel,Home Office,91.0,Eastern Asia,December
PAYMENT,Second Class,1,Women's Apparel,Home Office,87.0,West Asia,January
PAYMENT,Second Class,1,Women's Apparel,Home Office,82.0,South Asia,October
PAYMENT,Second Class,0,Electronics,Home Office,74.68000031,West of USA,June
PAYMENT,Second Class,1,Boxing & MMA,Home Office,90.15000153,West of USA,August
PAYMENT,Second Class,1,Cleats,Home Office,117.5800018,West of USA,April
PAYMENT,Second Class,1,Cleats,Home Office,95.98000336,US Center,May
PAYMENT,Second Class,0,Cardio Equipment,Home Office,263.9700012,West Africa,October
PAYMENT,Second Class,1,Shop By Sport,Home Office,113.9700012,Central Africa,November
PAYMENT,Second Class,1,Trade-In,Home Office,63.99000168,West Africa,November
PAYMENT,Second Class,1,Electronics,Home Office,79.66000366,North Africa,December
PAYMENT,Second Class,1,Cardio Equipment,Home Office,293.9700012,Western Europe,July
PAYMENT,Second Class,0,Cardio Equipment,Home Office,269.9700012,Western Europe,July
PAYMENT,Second Class,1,Cardio Equipment,Home Office,224.9799957,Western Europe,August
PAYMENT,Second Class,1,Cleats,Home Office,176.3699951,Western Europe,September
