Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName,Type_index,ShippingMode_index,CategoryName_index,CustomerSegment_index,OrderRegion_index,ShippingMonthName_index
PAYMENT,Same Day,0,Shop By Sport,Home Office,95.98000336,Central America,April,2.0,3.0,8.0,2.0,0.0,5.0
PAYMENT,Same Day,0,Accessories,Home Office,70.84999847,Eastern Asia,November,2.0,3.0,10.0,2.0,10.0,11.0
PAYMENT,Same Day,0,Cleats,Home Office,208.7700043,Southern Europe,July,2.0,3.0,0.0,2.0,5.0,1.0
PAYMENT,Same Day,0,Cleats,Home Office,191.9700012,Northern Europe,June,2.0,3.0,0.0,2.0,4.0,7.0
PAYMENT,Same Day,0,Shop By Sport,Home Office,156.7599945,Southern Europe,July,2.0,3.0,8.0,2.0,5.0,1.0
PAYMENT,Same Day,0,Baseball & Softball,Home Office,218.3600006,Central America,April,2.0,3.0,18.0,2.0,0.0,5.0
PAYMENT,Same Day,0,Shop By Sport,Home Office,127.9700012,Central America,March,2.0,3.0,8.0,2.0,0.0,3.0
PAYMENT,Same Day,0,Golf Balls,Home Office,61.16999817,West Asia,January,2.0,3.0,11.0,2.0,12.0,0.0
PAYMENT,Same Day,0,Women's Apparel,Home Office,200.0,Western Europe,June,2.0,3.0,2.0,2.0,1.0,7.0
PAYMENT,Same Day,0,Cleats,Home Office,293.9500122,Western Europe,July,2.0,3.0,0.0,2.0,1.0,1.0
PAYMENT,Same Day,0,Cleats,Home Office,284.9500122,Western Europe,July,2.0,3.0,0.0,2.0,1.0,1.0
PAYMENT,Same Day,0,Women's Apparel,Home Office,245.0,Western Europe,August,2.0,3.0,2.0,2.0,1.0,2.0
PAYMENT,Same Day,0,Women's Apparel,Home Office,232.5,Western Europe,October,2.0,3.0,2.0,2.0,1.0,9.0
PAYMENT,Same Day,0,Shop By Sport,Home Office,175.9600067,Northern Europe,July,2.0,3.0,8.0,2.0,4.0,1.0
PAYMENT,Same Day,0,Women's Apparel,Home Office,207.5,Western Europe,July,2.0,3.0,2.0,2.0,1.0,1.0
PAYMENT,Same Day,0,Cardio Equipment,Home Office,439.9599915,Central America,May,2.0,3.0,7.0,2.0,0.0,4.0
PAYMENT,Same Day,0,Cleats,Home Office,272.9500122,Central America,April,2.0,3.0,0.0,2.0,0.0,5.0
PAYMENT,Same Day,0,Cleats,Home Office,245.9600067,Central America,May,2.0,3.0,0.0,2.0,0.0,4.0
PAYMENT,Same Day,0,Shop By Sport,Home Office,175.9600067,Central America,May,2.0,3.0,8.0,2.0,0.0,4.0
PAYMENT,Same Day,0,Women's Apparel,Home Office,217.5,South Asia,December,2.0,3.0,2.0,2.0,9.0,10.0
PAYMENT,Same Day,0,Hunting & Shooting,Home Office,131.9600067,Oceania,March,2.0,3.0,27.0,2.0,3.0,3.0
PAYMENT,Second Class,0,Men's Footwear,Home Office,106.5899963,East Africa,January,2.0,1.0,1.0,2.0,18.0,0.0
PAYMENT,Second Class,0,Men's Footwear,Home Office,106.5899963,West Africa,January,2.0,1.0,1.0,2.0,16.0,0.0
PAYMENT,Second Class,0,Men's Footwear,Home Office,103.9899979,East Africa,January,2.0,1.0,1.0,2.0,18.0,0.0
PAYMENT,Second Class,0,Men's Footwear,Home Office,103.9899979,West Africa,January,2.0,1.0,1.0,2.0,16.0,0.0
